osm_id,destination,category,name,lat,lon,tourism,amenity,historic,leisure,railway,stars,cuisine,website,opening_hours
2671056014,Extremadura,attraction,Unknown,38.9154095,-6.3392301,,,ruins,,,,,,
2671056015,Extremadura,attraction,Unknown,38.9154143,-6.3389572,,,ruins,,,,,,
2671056018,Extremadura,attraction,Unknown,38.9154399,-6.3389235,,,ruins,,,,,,
2671056019,Extremadura,attraction,Unknown,38.915445,-6.3392761,,,ruins,,,,,,
2671056021,Extremadura,attraction,Unknown,38.915463,-6.3388933,,,ruins,,,,,,
2671056028,Extremadura,attraction,Unknown,38.9155606,-6.3387653,,,ruins,,,,,,
2671056029,Extremadura,attraction,Unknown,38.9155832,-6.3387356,,,ruins,,,,,,
2671056030,Extremadura,attraction,Unknown,38.9156049,-6.338707,,,ruins,,,,,,
2671056031,Extremadura,attraction,Unknown,38.915628,-6.3386768,,,ruins,,,,,,
2671056032,Extremadura,attraction,Unknown,38.9156502,-6.3386476,,,ruins,,,,,,
2671056033,Extremadura,attraction,Unknown,38.915672,-6.3386191,,,ruins,,,,,,
2671056034,Extremadura,attraction,Unknown,38.9157213,-6.3392439,,,ruins,,,,,,
2671056035,Extremadura,attraction,Unknown,38.9157616,-6.3391905,,,ruins,,,,,,
2671056036,Extremadura,attraction,Unknown,38.9158046,-6.3391335,,,ruins,,,,,,
2671056039,Extremadura,attraction,Unknown,38.9158389,-6.339088,,,ruins,,,,,,
2671056041,Extremadura,attraction,Unknown,38.9158691,-6.3390481,,,ruins,,,,,,
2671056043,Extremadura,attraction,Unknown,38.9158981,-6.3390097,,,ruins,,,,,,
2671056045,Extremadura,attraction,Unknown,38.9159215,-6.3389787,,,ruins,,,,,,
2671056047,Extremadura,attraction,Unknown,38.9159505,-6.3389402,,,ruins,,,,,,
2671056049,Extremadura,attraction,Unknown,38.9159773,-6.3389046,,,ruins,,,,,,
2674603670,Extremadura,attraction,Unknown,38.9157136,-6.3385577,,,ruins,,,,,,
2674603682,Extremadura,attraction,Unknown,38.91575,-6.3386068,,,ruins,,,,,,
2674603693,Extremadura,attraction,Unknown,38.915778,-6.3386443,,,ruins,,,,,,
2696297918,Extremadura,attraction,Cruz de San Blas,39.2217546,-7.0160374,,,memorial,,,,,,
2696297919,Extremadura,attraction,Risco de San Blas,39.2216895,-7.0161452,,,archaeological_site,,,,,,
2848760347,Extremadura,attraction,Castro del Castillejo,39.6147546,-6.3903142,,,archaeological_site,,,,,,
2971253565,Extremadura,attraction,Arco del Chorro Gordo,39.4518566,-5.3281245,attraction,,,,,,,,
2993038201,Extremadura,attraction,Convento de San Antonio de Padua,39.7110561,-6.5569326,,,ruins,,,,,,
3030388646,Extremadura,attraction,Torre de Floripes,39.7027844,-6.4670634,,,ruins,,,,,,
3046357156,Extremadura,attraction,Ermita de Santa Catalina,39.6706648,-6.529488,,,ruins,,,,,,
3047291189,Extremadura,attraction,Monumento al Minero,38.7751985,-4.8305453,,,memorial,,,,,,
3048778674,Extremadura,attraction,Castillo de Las Arguijuelas de Abajo,39.3493145,-6.3339262,,,castle,,,,,,
3050368901,Extremadura,attraction,Rollo de Justicia,40.1010385,-4.6853176,,,memorial,,,,,,
3050368912,Extremadura,attraction,Verracos Vetones,40.1012847,-4.6848348,,,memorial,,,,,,
