poi_id,name,destination,region,destination_type,capacity_index,category,asset_type,lat,lon,stars,cuisine,website
1314983628,ses Timbes,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.6086832,2.5050422,,,
1317086365,puig de na Bauçana,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.6043934,2.5184168,,,
1321531056,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5965077,2.3352846,,,
1322808139,Unknown,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.7549162,2.9012676,,,
1331481558,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.4800118,2.7270821,,,
1336502951,Torre de sa Pedrissa,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7646079,2.6355128,,,
1351136450,Club Nàutic de Portocolom,Mallorca,Islas Baleares,island,88,attraction,Playa/Marina,39.4231159,3.2614032,,,https://www.cnportocolom.com/
1351154925,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.4203316,3.27548,,,
1351154945,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.4155742,3.2708174,,,
1351154953,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.4284136,3.2724494,,,
1359283238,mirador de Miramar,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7394189,2.6167052,,,
1359283270,mirador de sa Ferradura,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7404871,2.6177389,,,
1363545545,Frederic Chopin,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5704451,2.6480182,,,
1367044817,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7603062,2.6426275,,,
1367044847,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7616485,2.6451835,,,
1367795752,Juan Crespí Pelaire,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5694267,2.6482583,,,
1374516578,Unknown,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5727193,2.6376117,,,
1378796343,es Drac de na Coca,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.567086,2.6491686,,,
1403095167,Emil G. Racovitza,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5552463,2.6242459,,,
1406136295,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5696582,2.6411257,,,
1406146723,Unknown,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5696528,2.6395698,,,
1406958225,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5693889,2.6382748,,,
1407007962,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5696308,2.6361184,,,
1407516703,a Marc Ferragut,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5674603,2.6294454,,,
1410976543,Unknown,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.5539126,2.6154031,,,
1415006811,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.3272176,3.1503358,,,
1415006830,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.3278815,3.1529268,,,
1420071410,Es Forcadet,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.7919389,3.0751073,,,
1420346834,Unknown,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5452956,2.6322468,,,
1425495274,punta des Bauç,Mallorca,Islas Baleares,island,88,attraction,Patrimonio,39.3042465,3.1099745,,,
1429685512,House of Katmandu,Mallorca,Islas Baleares,island,88,attraction,Atracción,39.5108191,2.5344437,,,
